2550;module;ietf-schc;;;;;;;;;;;;;;;
2551;;;;;;;;;;;;;;;;;
2552;;;;;;;;;;;;;;;;;
2553;;;;;;;;;;;;;;;;;
2554;;;;;;;;;;;;;;;;;
2555;;;;;;;;;;;;;;;;;
2556;;;;;;;;;;;;;;;;;
2557;;;;;;;;;;;;;;;;;
2558;;;;;;;;;;;;;;;;;
2559;;;;;;;;;;;;;;;;;
2560;;;;;;;;;;;;;;;;;
2561;;;;;;;;;;;;;;;;;
2562;;;;;;;;;;;;;;;;;
2563;;;;;;;;;;;;;;;;;
2564;;;;;;;;;;;;;;;;;
2565;;;;;;;;;;;;;;;;;
2566;;;;;;;;;;;;;;;;;
2567;;;;;;;;;;;;;;;;;
2568;;;;;;;;;;;;;;;;;
2569;;;;;;;;;;;;;;;;;
2570;;;;;;;;;;;;;;;;;
2571;;;;;;;;;;;;;;;;;
2572;;;;;;;;;;;;;;;;;
2573;;;;;;;;;;;;;;;;;
2574;data;/ietf-schc:schc;;;;;;;;;;;;;;;
2575;;;;;;;;;;;;;;;;;
2576;;;;;;;;;;;;;;;;;
2577;;;;;;;;;;;;;;;;;
2578;;;;;;;;;;;;;;;;;
2579;;;;;;;;;;;;;;;;;
2580;;;;;;;;;;;;;;;;;
2581;;;;;;;;;;;;;;;;;
2582;;;;;;;;;;;;;;;;;
2583;;;;;;;;;;;;;;;;;
2584;;;;;;;;;;;;;;;;;
2585;;;;;;;;;;;;;;;;;
2586;;;;;;;;;;;;;;;;;
2587;;;;;;;;;;;;;;;;;
2588;;;;;;;;;;;;;;;;;
2589;;;;;;;;;;;;;;;;;
2590;;;;;;;;;;;;;;;;;
2591;;;;;;;;;;;;;;;;;
2592;;;;;;;;;;;;;;;;;
2593;;;;;;;;;;;;;;;;;
2594;;;;;;;;;;;;;;;;;
2595;;;;;;;;;;;;;;;;;
2596;;;;;;;;;;;;;;;;;
2597;data;/ietf-schc:schc/rule;;;;;;;;;;;;;;;
2598;data;/ietf-schc:schc/rule/rule-id-length;;;;;;;;;;;;;;;
2599;data;/ietf-schc:schc/rule/rule-id-value;;;;;;;;;;;;;;;
2600;data;/ietf-schc:schc/rule/rule-nature;;;;;;;;;;;;;;;
2601;;;;;;;;;;;;;;;;;
